2024-09-06 08:01:51 status half-configured vim:amd64 2:8.2.3995-1ubuntu2.18
2024-09-06 08:01:51 status installed vim:amd64 2:8.2.3995-1ubuntu2.18
2024-09-06 08:01:51 configure vim-tiny:amd64 2:8.2.3995-1ubuntu2.18 <none>
2024-09-06 08:01:51 status unpacked vim-tiny:amd64 2:8.2.3995-1ubuntu2.18
2024-09-06 08:01:51 status half-configured vim-tiny:amd64 2:8.2.3995-1ubuntu2.18
2024-09-06 08:01:51 status installed vim-tiny:amd64 2:8.2.3995-1ubuntu2.18
2024-09-06 08:01:51 trigproc hicolor-icon-theme:all 0.17-2 <none>
2024-09-06 08:01:51 status half-configured hicolor-icon-theme:all 0.17-2
2024-09-06 08:01:51 status installed hicolor-icon-theme:all 0.17-2
2024-09-06 08:01:51 trigproc man-db:amd64 2.10.2-1 <none>
2024-09-06 08:01:51 status half-configured man-db:amd64 2.10.2-1
2024-09-06 08:01:51 status installed man-db:amd64 2.10.2-1
